Creation_Date,User,feedback_txt
10/22/2020,CuraScriptSD, #Oncology News: #ESMO - Ademaciclib reduces risk of invasive breast cancer  https://t.co/bQZW7UtPRS #Ademaciclib #BreastCancer  https://t.co/UQ7m5dlnQF
10/21/2020,iambellat, So happy to be one of the clinical case presentor for the Virtual ESMO Preceptorship in Breast Cancer 2020  https://t.co/5hHS5mKO34
10/21/2020,FrommeyerSteven, Andrew Davis MD Division of Oncology Washington University School of Medicine presents ESMO Breast Cancer Highlights at tonight’s “Institutional Perspectives in Cancer” @OncLive @OncLiveSOSS @WUSTLmed #BCSM  https://t.co/iXlB2cWiMs
10/21/2020,OncLive, Breast Cancer IPC is only ONE HOUR away! 630pm CT chaired by Cynthia X. Ma  MD  PhD @WUSTLmed. Register for updates on ESMO Breast Cancer Highlights #bcsm #oncLiveIPC @OncLiveSOSS  https://t.co/EGv5ni5XOt
10/21/2020,OUPMedicine, A pervasive global issue necessitates critical thinking and initiative  and the authors of Breast Cancer: Global Quality Care broach some improvements for cancer care centers in this piece for @ESMO_Open. #oncology #breastcancer #breastcancerawareness   https://t.co/a2rfJCws0A
10/16/2020,EiocOncology, Excited for Day 2 of EIOC 2020 Virtual Congress! Our Breast Cancer Session is going LIVE in 45mins! Don't forget to join us at 12:45PM UAE Time!  Join Virtual Congress here: https://t.co/gPMXxUAxYG #eioc2020 #breastcancer #session #cancercongress #oncology #healthcare #ASCO #ESMO  https://t.co/UX1tiLhU3J
10/15/2020,BCTrialsANZ, This year's ESMO 2020 conference went online  with researchers logging in all over the world to share their research. We have provided a summary of key breast cancer research presented at this year's event.  #breastcancer #ozonc #esmo2020 #clinicaltrials  https://t.co/reXE46I22Q
10/14/2020,orniti, Exploratory analysis of circulating cytokines in patients with metastatic breast cancer treated with eribulin: the TRANSERI-GONO (Gruppo Oncologico del Nord Ovest) study   https://t.co/IQnaSslmBL  Just published in @ESMO_Open @MassimoDiMaio75 @FilippoMontemu1 #eribulin #mBC #GONO
10/12/2020,brunolarvol, ESMO 2020: ASCENT Positions Sacituzumab Govitecan as Possible Standard of Care for Previously Treated Metastatic Triple-Negative Breast Cancer  https://t.co/WdAV7Prhzl… #oncology. SOC positioned?
10/12/2020,PracUpOnc, ESMO 2020: ASCENT Positions Sacituzumab Govitecan as Possible Standard of Care for Previously Treated Metastatic Triple-Negative Breast Cancer  https://t.co/3i1BWarxVc #oncology
10/10/2020,PracUpOnc, ESMO 2020: Addition of Atezolizumab to Paclitaxel Treatment for Triple-Negative Breast Cancer Shows No Significant Benefit  https://t.co/whRy68VTwO #oncology
10/10/2020,IBCResearch," #TripleNegative #breastcancer ""Sacituzumab govitecan improves survival in pretreated triple-negative breast cancer"" #bcsm @ESMO   https://t.co/q79oVimyM6"
10/9/2020,BreastDocUK, (Still) massive variation in use of 5FU in breast cancer despite ESMO guidance (don’t use)  Good narrative audio on link below too #betterposters #BOPA2020
10/6/2020,MEDtalksCH, #PinkRibbon is an international symbol of breast cancer awareness. Breast cancer is the most commonly occurring cancer in women 🎀 For new insights  click on our website  https://t.co/gghtIgaIAy #ASCO #ESMO  https://t.co/4LLrGax0OV
10/6/2020,OncologyNewsAus, Oncology News Update: 'ESMO 2020: 20-year research breakthrough offers new hope for breast cancer patients' has been published on Oncology News Australia -  https://t.co/cmxOh9Lu52 #oncnews  https://t.co/I0Y10t6ass
10/5/2020,EiocOncology, View Breast Program HERE ➜ https://t.co/YPgc8MJiEy  #eioc2020 #speaker #announcement #experts #leaders #breastcancer #breast #HER #ESMO #ASCO #oncology #oncologycare #healthcare #physician #nurse #education #virtual #virtualcongress #medical #indexdubai #euccme #mohap #dubai #uae
10/3/2020,PracUpOnc, ESMO 2020: Abemaciclib Improves Invasive Disease-Free Survival and Reduces Risk of Metastasis in High-Risk Hormone Receptor-Positive  HER2-Negative Breast Cancer  https://t.co/eRcgqdXx18 #oncology
10/3/2020,filimasini, Application of the ESMO-Magnitude of Clinical Benefit Scale (V.1.1) to the field of early breast cancer therapies ...  https://t.co/VECpwvzB2X
10/3/2020,AgendaLifeSci, ESMO 2020: Breast cancer drug set to transform prostate cancer treatment  https://t.co/BxaQYfHjG1  https://t.co/vSuRO9Xh35
10/3/2020,mattotcha, Innate Immune Response Produces 'Phenomenal' Breast Cancer Control  -  There is another really important study from the science weekend at ESMO that I want to make sure you see because I fear it might be overlooked.  https://t.co/bU1ylmUgz5
10/1/2020,PracUpOnc, ESMO 2020: Recommendations From Dr. Reshma Mahtani for Breast Cancer  https://t.co/VAYHMeCUK6 #oncology
10/1/2020,PracUpOnc, ESMO 2020: Recommendations From Dr. Reshma Mahtani for Breast Cancer  https://t.co/3CxaFJHGur #bcsm #breastcancer
10/1/2020,PracUpOnc, ESMO 2020: Recommendations From Prof. Lillie Shockney for Metastatic Breast Cancer  https://t.co/IVzgj6dnWQ #bcsm #breastcancer
9/30/2020,PracUpOnc, ESMO 2020: Recommendations From Prof. Lillie Shockney for Metastatic Breast Cancer  https://t.co/FXxkidCv8Y #oncology
9/29/2020,DaniTernyila, As the 2020 ESMO Congress came to a close  several experts in lung  breast  GI  and GU cancers shared their insights on some of the most impactful abstracts from this year's meeting.  https://t.co/uMQGHq3ShV
9/29/2020,PredictiveOnc, Industry  News:   Conflicting ESMO Data Raise Questions About Role of CDK4/6 Inhibitors in Adjuvant Breast Cancer    https://t.co/QO2kzvJZcV     #oncology
9/29/2020,myESMO, 📣ESMO Virtual Preceptorship on #BreastCancer: apply by 1/10 for the latest in standard of care management of early  locally adv &amp; metastatic breast cancer in surgery  radiation &amp; systemic therapy  &amp; crucial role of multidisciplinary care 👉 https://t.co/EobpWBm5nn #bcsm  https://t.co/tye0hrEBBy
9/29/2020,PracUpOnc, ESMO 2020: Recommendations From Dr. Sara Tolaney for Breast Cancer  https://t.co/kXOxuDIJ65 #oncology
9/28/2020,RICKLIN4TH, Neoadjuvant treatment: the future of patients with breast cancer | Esmo Open and enables de-escalation surgery with improved QoL  https://t.co/MJ5olXA4zn
9/28/2020,drtarsh, Very helpful summary of new trials using targeted therapy for breast cancer from ESMO 2020.
9/27/2020,BollamRajesh4, # Breast cancer # Esmo 2020 # Top5 abstracts @paolo Taranito
9/26/2020,PTarantinoMD, This #ESMO20 has been incredibly rich of relevant news for both early and advanced #breastcancer treatment  👉Here’s my personal selection of the #TOP5 breast cancer take-home messages from ESMO 2020  @OncoAlert @myESMO #bcsm  https://t.co/MyZ5Chs7sH
9/25/2020,talatmukhtar, No adjuvant palbociclib in stage II&amp;III Breast Cancer Research at ESMO 20: Erica L. Mayer  MD  MPH  https://t.co/mofsH5FVyK via @YouTube
9/24/2020,KristieRaupp, @Agendia @Breastcancerorg Helpful information for breast cancer patients during COVID-19 “To make sure that people with cancer get the best care during the COVID-19 pandemic  the ESMO experts created their recommendations.“ #IBelieveInAgendia #genomics ##MammaPrint #BluePrint
9/24/2020,boobstagramm, ESMO: Lilly's Verzenio pressures Pfizer with practice-changing win in early breast cancer - FiercePharma  https://t.co/bITxLjFKua
9/24/2020,boobstagramm, Immunomedics wows ESMO with breast cancer data reveal - - pharmaphorum  https://t.co/WSUJweKO3L
9/23/2020,Nfcanavan, I’m co-hosting an ESMO wrap up on Friday  10am-12pm EST with Bloomberg Intelligence. Topics: breast cancer  lung  and GI cancer. KOLs: Hope Rugo  UCSF: Vamsi Velcheti  NYU; Zev Wainberg  UCLA :  https://t.co/0QKYG5C31q
